id,BG,AG,HA,ED,HE,SE
186,0,4,2,0, ,1
187,0,3,2,4,1, 
188,2,1,1,10,2, 
189,2,3,2,4,1,2
190,0,1,1, ,3,2
191,1,2,0,8,3,2
192,1,1,1,1,3,2
193, , ,2,10,1,1
194,2,1,1,1, ,0
195,0,0,2,8,1,2
196, ,0,1,4,3,0
197, ,3,1,6,2,0
198,0,0,0,7,1,1
199,2,3,0,10,2,1
200,2,1,2,5,3,1
201,1,2,0,2,1,2
202,1,3,2,6,3,1
203,2,1,2,10,0, 
204,0,1,1,6,2,1
205,1,0,1, ,1,1
206,0,1,0,5, ,2
207, ,4, ,1,1,2
208,2,3,2,6,3,2
209,2,3,1, ,3,2
210,1,3,1,0, ,2
211,0,2, , ,2,1
212,1,0,1,5,1,2
213,2,0,0,9,2,1
214,0,2,0, ,1,0
215,0,4, ,4,3,1
216,1,2,1,4,2,2
217,0,4,0,4,1,2
218,1,4,0,4,1,2
219,0,3,1, ,2,2
220,1,3,2,8, ,2
221,1,2,2,4,1,2
222,2,2,0,9,2,0
223,1,1,0,6,3,2
224,2,1,1,7,0,2
225,0,3,0, ,0,1
226,1,3,1,8,1,1
227,0, ,2,9, ,0
228,2, ,0,6,3,2
229,0,2,2,4,0,0
230, ,4,1,8,3,2
231,0,3,0,7, ,1
232,0,0,1,9,2, 
233,2,3,2,5, ,2
234,2,3, ,7,2,0
235,0,4,2, ,2,2
236,0,1,1,5,3, 
237,0,3,2,10, ,1
238,1, , ,0,1,1
239,2,4,2,0,1, 
240,2,0,1,4,3,1
241,1,2,1,7,1,0
242,1,3,2,2,0,1
243,2,1,2,2,3,1
244,2,1,0,10,2,0
245,2,2,1,4,2,2
246,0,4,2,0,0,2
247,1,3,0,3,3,1
248,1,2, ,9,2,1
249,1,2,2,8,0,2
250,2, ,0,6,3,1
251,1, ,1,1,3,1
252,2,3,2,0,1,1
253,0,3,2,3,3,2
254, ,4,1,0,2,2
255,1,3, ,8, ,2
256,0,3,1,7,3, 
257, ,1,2,1,1,1
258,0,0,0,8,2,2
259, ,1,0,3,3,2
260,2,2,2,8,2,1
261,2,1,0,5,1,1
262,0,3,1,9,3,0
263,2,4,0,0,1,2
264,2,0,2,3,2,0
265,2,1, ,5,3,0
266,2,2, ,8,1,2
267,1,1,2,3,3, 
268,1,2,0,4,0,0
269,1,0,2,4,3,1
270,1,3,1,2,3,2
271,0,4,1,10, ,1
272,2,3,2,10,2,1
273,2,4,0, ,2,1
274,1, ,1,4,3,2
275,1,4,1,9,2, 
276,0,3,0,0,0,2
277,0,4,2,10,2,2
278,1,0,1,4,1,2
279,1,0,2,5,0,2
280,2, ,0,9,0,1
281,2,3,2, ,1,2
282,0,0,2,4,0,1
283,0,1,2,9,0,0
284,2,4,0,3,3, 
285,0,0,2,8,3,0
286,1,2,2,0,1,2
287,2,0,0,6,0,1
288,2,3,1, ,3,0
289,0,2,0, ,0,0
290,0,0,0,5,0,1
291,0, ,0,3, ,1
292,0,3,1,3,2,1
293,2,2,1,1, ,2
294,0,3,2,0,3, 
295,2,3, , ,3,2
296,1,1,1,3,1,0
297,2,3,0,1,0,1
298,2,0,1,10,0,1
299,2,2,0,5,1,2
300,2,2,1,6,2,1
301, ,1,1,3, ,1
302,0,4,1,4,2,0
303,2,4,1, ,1,1
304,1,1,2,6,0, 
305,0,1,1,5,2,0
306,2,1,2,10,2,2
307,0,3,1,5,1, 
308,1, ,0,0,0,2
309,0,2,1, ,1,1
310,1,0,2,7,2,1
311,0,0,1, ,1,1
312,2,2,2,8,3,2
313,0, , ,9,2,0
314,1,1,1,4,0,0
315,2,2,2,4,0,2
316,0,0,2, ,1, 
317,1,4, ,1,1, 
318,0,3,0,7,2,0
319,0,0,2,7,2,2
320,1,0,1,3,1,0
321,0,1,1,3,2,2
322,1,4,0,4,1,0
323,2,0,1,4,0,0
324,1,1,2,0,2,2
325, ,1, ,4,2,0
326,0,1,0,5,0,0
327,2,3,1,6,2,2
328,0,3,2,10,1,0
329,0,3,1,3,3,1
330,0,2,2,1,3, 
331,1,1,1,9, ,2
332,1,0,2,1,2,1
333,1,1,0, ,3,1
334,0,1,0,0,0,0
335,0,1,1,6,2, 
336,0,1,1,10,1,1
337, ,0,0,8,1,1
338,1,4, ,7,0,0
339,0,0,1,3,0,1
340,2,2,0,6,1, 
341,2,4,2,0,0,0
342,1, , , ,0,1
343,2,4,0,9,3, 
344, ,2, ,1,0,1
345,0,3,1,4,2,0
346,2,0,0, ,2,0
347, ,2,1,0,2,1
348,2,3,2,7,0,1
349,2,0, ,10, ,1
350,0,3, ,3,2,0
351,1,3, , ,1,1
352,0,2,0,6,1,2
353,0,4,1, ,3,0
354,2,0, ,1,1,0
355,1,4,2,9,3,1
356,1,4, ,4, ,0
357,1,4,0,7,0,2
358,1,2,0,9, ,1
359,1,4,2, ,3, 
360,0,2,1,0,0,0
361,1,2,1,5,1,1
362,0,4, ,3,0,0
363,2,4,1,7,2,2
364,0,2,2,4,3,2
365,1,1,0,2,0,2
366,0,0,2,7,0,2
367,1,3, ,3,3,1
368,2,4,1,1,0,1
369,2,1,0,0,0,0
370,1,3,1, ,2,2
371,0, ,1,3,2, 
372, ,4,0,2, ,2
373,1,1,2,8,2, 
374, ,3,0,4,2,0
375,1,2,2,9,1,2
376,2,4, ,9,3,2
377,0, ,0, ,2,2
378,2, ,0,6,1,0
379,1,4, ,1, ,1
380,0, ,2,5,2,0
381,0,4,2,3,0,1
382,1,2,0,9,0,2
383, ,3,1, ,2,2
384, ,3,2,8,1,1
385,1,2,0,2,3,0
386,2,3,1,10,2,2
387,0,0,0,2,1,1
388,2,2,2,10,1,2
389, , , ,4,1,2
390,1,2,1,5,1, 
391,2,2,0,2,2,1
392,0,4,2,1,0,2
393,1,0,1,3,1,2
394,2,4,1,3,3,1
395,0,2,1,9,1,1
396,2,3,1,1,1, 
397,2, ,2,8,1,0
398,1,0,1,6,1,1
399,0, ,1,3,0,1
400,2,0,2,0,2,0
401,0, ,1,3,0,0
402, ,4,2,4,1, 
403,2,3,0,8,1,0
404,1,4,1,8, ,2
405,0, ,1,5,1,0
406,1,3,2,2,3,2
407,2,2,2,3,1,1
408,1, ,1,3,0,0
409,1,0,1,1,2,1
410,2, ,0,4,3,1
411,0,2,2,3, ,2
412,0,3,0, ,0,2
413,1,2,2,3, ,0
414,2,2, , ,1,1
415,2,4,0,8,0,2
416,0,1,1,2,2,1
417,0,4,0,5,1,2
418,0,4,0, ,1,1
419,2,1,2,3,2,2
420,0,2,2,4,0,1
421,2,3,1,9,3,1
422,2,3,1,6,1,1
423,0,2, ,1,0,2
424,0,4,0,9,0,0
425,2,4,0,7,1,0
426,2,0,0,10,1,0
427,2,2,1, ,2,1
428,0,0,2,5,1,0
429,1,0,2,2,3,0
430, ,4,2,0,2,1
431,0,0,2,6,1,1
432,0,3, ,10,1,0
433,2,4,2,10,2,0
434,2,3,0, ,0,2
435, ,1, ,8,0,0
436,2,1, ,2,3,1
437,2,0,0,8,3, 
438,2,1,0,5,3, 
439,2,1,2,9, ,2
440,1,3,2,10,1,2
441,2,1,2,6,2,2
442,0,2,0,0,2,0
443,2,3, , ,3,2
444,2,2,1,4,1,2
445,0,4,1,3,0, 
446,1,3,0,5,3,0
447, , ,0,0, ,1
448,1,3,1,1,3,2
449,2,3, ,0, ,0
450,0,3,2,8,0,0
451, ,3,1,4,0,2
452,2,2,0,2,1,2
453,0,3,1, ,3,1
454, ,4,2,3,0,0
455,2,2,0,3, ,0
456, ,0,2,9,2,0
457,1, ,0,10,0,1
458,0,3,1, ,1, 
459,0,2, ,5,2,1
460,1,1,0,6,2,2
461, ,2,1,7,0,1
462,2,0,2,7,2,0
463,1,1,1,7, ,1
464,2,2,1,0,1,1
465,0, ,0,1, ,1
466,1, , ,9,1,2
467,2,3,0,3,1,2
468,0,0, ,7,2,2
469,0,0,0,4,2,1
470,0, ,2,10,0,2
471,0,3,1, ,0,0
472,1,3,0,9,3,2
473,1,0,0, ,2,2
474,2,0,0,10,0,0
475,0,0,1,5,1,0
476, , ,0, ,0,1
477,0, , ,10,0,1
478,2, ,1,0,1,2
479,0,1,0,9,1,1
480,2,4,1,3, ,1
481,2,4,1,8,0,2
482,1, ,2,6,2,0
483,1,1,2,7,1,1
484,0,4,2,7,3,0
485,0,3,0,7, ,0
486,1,3,2,9,1,1
487,0, ,2,7,0,1
488, ,2,0,9,0,1
489,1, ,1,4,1,0
490,1,2,1,5,2,0
491,2,1, ,5, ,0
492,0,1, , ,1,2
493,2,0,0,2,1,2
494,0, ,0,3,1,2
495,1,0,2,3,0,2
496, ,1,1,4,2,1
497,0,1,1,10, ,2
498,1, ,1,6,3,2
499,0,3,1, ,3,2
500,2,2,0,10,0,2
501,2,3,1,8,0,2
502,0,4,1,4,3,0
503,2,1,2,9,1,1
504,1,3,2,1,1,1
505,2,2, ,0,2,1
506,0, ,0,3,2,0
507,1,2,1,3, ,2
508,1,1,1,0,2,1
509,1, ,0,1,3,2
510,2,2,2,8,2,1
511,2, ,0,6,3,1
512,0,1,0,8,2,1
513,2,1, ,4,1,2
514,2,3,0, ,3,0
515,2,4,1, ,0,0
516,0,0,0,7,1,2
517, ,0,2,4,3,0
518,0,2,1,10, ,2
519,2,2,2,8,1,0
520,0,3, ,9,0,1
521,2,1,1,2,2,1
522,1,1,1,8,3,1
523,1,4,0,5,3, 
524,1,0, ,10,0,2
525,1,2,1,0,0,1
526,2,4,2,2,3,2
527,1,0,1,7,3,0
528,0,1,0,7,0,0
529,2,3,0,7,1,2
530,0,1,2,0,2,2
531,1, ,2,0,1, 
532,0,2,2,10,1,0
533,1, ,0,8,0,1
534,1,3,2,8,0,0
535,2,3,0,0,1,0
536,1,1,1,5,1,0
537,2,0,0,3,3,2
538,2,2,1,10,0,0
539,2,2,1,0,2,1
540,2,0,2,1, ,0
541,2, ,2,4, ,1
542,0,2,1, ,1,0
543,2,2,2,1,3, 
544,1,1,0,9,3,2
545, , ,0,8,3,1
546,0,4,1,9,0,1
547,1,4, ,1,1,0
548,0,0,0,5,3,2
549,1,1, , ,3,2
550,0,0,2,5,1,1
551,1, ,2, , ,1
552,2,4, ,2,0,2
553,1, ,2,7,0, 
554,1,2,2,8, ,1
555,0,4,2,3,2,0
556,0,3,0,1,2,2
557,1,1,0,4,3,1
558,2,4,1,5,1,0
559, ,0,1,3,2,1
560,0,2,1,1,1,2
561,0,0,1,3, ,1
562,2,0,1,0,1,0
563,0,0,0,9,3,0
564,1,4,0,6,0, 
565,1,0,0,2,1,2
566,1,2,0,1,2,2
567,1, ,2,1,0,2
568,1,3,1,6,1,1
569,2,4,2,3,3,1
570,1,2,2,8,0,0
571,1,2,0,6,0,2
572,1,1,0,0,1,1
573,0,3,1,8,1,0
574,1,2,0,2, ,0
575,0,0,0,1,3,2
576, ,0,0,1,2,2
577, ,4,2,8,1, 
578,2,0,1,1,2,2
579,2,1,1,1,2,2
580,2,2,0,2,3,2
581,2, ,0,6, ,2
582,1,1, ,6,2,1
583,1,1,0,9,3,0
584,1,0,2,1,2, 
585, ,4,2,6, ,1
586,1,0,2,1,0,2
587,1,3,0,4,3,1
588,0,0,2,5,0,0
589,2,1,2,10,0,0
590,2,1,0, ,2,2
591,2,2,2, ,3,2
592,0,4,2, ,1,1
593,0,4,1,0,1,0
594,0,4,1,10,1,2
595,0,3,1,4,0,0
596, , ,1, ,2,0
597,0,0,1,2,3,1
598, ,0,1,5,0,2
599,0,1,1,7,0,1
600,2,2,2,5,2,1
601,1,3,0,8,2,1
602,1,0,1,0, ,1
603,1,3,1,1,3,0
604,2,2,1,8,0,2
605,2,2,0,7,2,2
606,1,2,1,10,3,2
607,2,2,0,0,2,2
608, ,4,0, ,0,2
609,0,3,1,1, ,0
610, ,3,0,6,0,2
611,0,1,0,4,0,2
612, ,3,0,5,2,2
613,1,4, ,7,3,2
614,2, ,2,5,0, 
615,0,4, ,4,2,0
616,0,1,1,5,2,1
617, ,4,1,6,3,0
618,2,0,0,6,2,1
619, , , ,0,1,0
620,0,1,1,0,3,0
621,0, ,1,8,3,0
622,2,4,2,6,0,1
623,2,0,0,6,2,2
624,1,3,1,6,1,2
625,0, ,0,0,0,1
626,1,3,2,4,3,1
627,1,2,1,10,3,0
628,2,4,0,7,1,2
629,0,1,0,9,1,2
630,1,1,0,8,3,1
631,0,0, ,7,1,0
632,1,0,1,7,1,1
633, ,1,1,5,3,0
634,2,3,1, ,1,1
635,2,1, ,5,2,2
636,0,3,2, ,0, 
637,2,4,2,8,2, 
638,0,3,1,5, ,0
639,2,4,0,9, ,1
640, ,1,2,6,2, 
641,1,2,1,9, ,2
642,0,3,1,1,3,0
643,2,1,0,9, ,0
644,2, ,1,1, ,1
645,0,0,0,1, ,1
646,2,2,2, ,3,0
647,0,4,0,3,1,1
648,0,4,0,6,2,1
649,2, , ,2,2, 
650,2,1,1,4,2,1
651,2,2,0,5,0, 
652,0,0,0,8,0,1
653,0,3,1,8,1,1
654,0, ,2, ,0,1
655,2, ,2,2,0,2
656,2,3,0,2,0, 
657,2, ,2,7,0, 
658, ,2,2,6,0,0
659,0,1,1,8,3,2
660,1,3,1,5,2,1
661, ,0,2,8,2,0
662,1,3,1,4,2,2
663,2, ,1, ,2, 
664,0, ,2,4,1,2
665,1,0,1,6,2,0
666,0,4,0,6,2,0
667,2,3,0,10,2, 
668,2,2,1,9,1,2
669,1,1,2, ,1,2
670,2,4,1,2,2,0
671,0,0,0, , ,0
672,2,1,2,4,0, 
673,2,0,1,10,0,0
674,1,4,0,3,3, 
675, ,4, ,5,3,2
676,0,2,0,4,3,0
677, ,3,2,2,3,2
678,2,0, ,3,3,1
679,1, ,2,10,3,0
680, ,0,2,3,2,1
681,2,1,2,3,2,1
682,0,1,2,2,3,1
683,1,3,0,9,1,2
684,0,1,2,2, ,1
685,0,1,1,8,3,0
686,2,1,0,9,3, 
687,2, ,2,5,2,0
688,2,1,1,2,2,2
689,1,4,0,8,2,1
690,2,3, ,8,3,2
691,1,1,2,9,0,0
692,0,3,2,5,1,2
693,2,3,2,2,3,1
694, ,4,2,5,0,0
695,2,0, ,1,2,2
696,2,0,1,5,0,2
697,2,1,0,4,3,0
698,0, , ,4,1,0
699,2,2,2,6,2,1
700,0,3,0,8,2,2
701,2,2,1, ,1,0
702,0,0,2,1,1,0
703,0,2,1,2, ,0
704,0,4,0,3,3,0
705,2,0,0,8,2,2
706,1,2,2,2,0,0
707,1,1,1,3,3,0
708,1,2,1,5,0,1
709,2,0,2,3,1,0
710,2,4,2,6,1,1
711,0,0,2,1,1,2
712,0,4,0,8,1,0
713,1,2,2,2,3,1
714,2,1,2,0,3,2
715, ,2,1,7, ,2
716,0,2,1,2, ,0
717,2,1,1,8,1, 
718,1,3,1,1, ,1
719,1,4,2,4, ,0
720,2, ,1,9,3, 
721,2,1,2,10,0,1
722,2,1,1,1,2,1
723,0,0,0, ,3,0
724, ,3,1,0,2, 
725,0,1,2,6,1,0
726,1,1,2,10,2,1
727,0,4,1,10, ,2
728,0,2,2,2, ,1
729,1,1,0,5,3,0
730,2,0,0,0,3,0
731,1,0,2,3,3, 
732,1,0,2,4,0,0
733,0,3, ,6,1,0
734,0,0,2,8, ,2
735, ,0,0,5,3,0
736,2, ,0,7,3,2
737,0, ,0, , , 
738,0,3,1, ,1,0
739,2,2,2,0,1,2
740,2,1,1, ,2,2
741,0,0,0,6,3,1
742,2,2,2,5,2,1
743,0,1,2,0,2,2
744,0,4,1,8,1,1
745,0,4,1,10,1,1
746,1,0,2,1,3,1
747,2,1,2,0,0,1
748,2,4, ,4, ,0
749,1,1,1,2,3,2
750,0,0, ,8,0,2
751,2,0,0,0,3,0
752,1,3,0,4,3, 
753,1,4, ,1,1,2
754, ,3, , ,2,1
755,0,1,2,3,1, 
756,1,2,2,0,0,2
757,0,4,1,1,3,0
758,0,0,0,4,0,2
759,0,1, ,8,0,0
760,1,4,0,7,3,1
761, ,1,1,2,1,1
762,0,0,1,0,3,0
763,2,0,1,5, ,2
764,2,3,2,8,3,0
765, ,4,0,0,1,2
766,2,3,0,10,0,1
767, ,2,1,1,1,1
768,0, ,2,1,0, 
769,0,4,0,2,3,0
770,0,1,0,9,1,0
771,1, ,0,10, ,1
772,0,2,2,10,1,0
773,2,4, , ,0,1
774, ,4,1,0,3,1
775,0,4,1,9,1,1
776,2,0,1,0,2,1
777,0,1,0,1,1,0
778,0, ,0,4,3,2
779,0,0,0,7,1,0
780,2,0,2,7,0,2
781,0,0, ,9,3,2
782,0,2,1,4,3,2
783,0,4, , , ,1
784,2,2,1,2,1,2
785, ,1,0,0, , 
786,0,4,1,2,3,1
787,0,1,2,5,3,2
788,2,4, ,0,1,2
789,0,1,1,9,3,0
790, ,2,0, ,3,2
791, ,1, ,10, , 
792,2,4,0,7,3,0
793,2, ,2,4,3,2
794, ,3,1,5,1,2
795,0,1, ,1,2,0
796,0,1,2,1,0,1
797,0,1,1,3,1,2
798,2,3,1,9,3, 
799,0,0,0,2,0,2
800,1, ,0, , ,0
801,2,0,1,0,0, 
802,2,1,1,10,3,1
803,1,3,2,7,2,2
804,1, ,2, ,2,2
805,1,4,1,4,1,1
806,0, ,0,1,3,0
807, ,4,2,7,3,1
808,0, ,0, ,1,0
809,2,1,0,10,3,1
810,0,3,1,2,0,0
811,0,1,1,0,3,2
812, ,3,1,4, ,1
813,1,4,2,4,0,1
814,2,0,0,7,1,0
815,2, ,1,2,0,0
816,1,4,2,9,0,2
817,1,3,1,3,3,0
818,0,0,1,9,0,0
819,2,3,2,8,2,2
820, ,0,1,7,0, 
821,2,0, ,0,0,2
822,2,3,1,1,1,0
823,1,2, ,2,1,0
824,0,3,2,10,3,1
825,2,4,0, ,1,0
826,1,3,0,0,1,1
827,2,1,1,9, ,2
828,1,0,0,8, ,2
829,2,3,0,8,0, 
830,0,1,2,9,2,1
831,2,2,2,8,3,1
832,1,1,1,0,1,0
833,0,4,0,3, ,2
834,1,3, ,2,1,2
835, ,0,2,7,0,2
836,1,0, ,7,3,1
837,2,0,0,5,1,0
838,0,0,0,7,3,1
839,2,2,2,5,3,1
840,2,4,0,5,0,2
841,2,2,0,5,2,1
842,0,3,1,8,0,1
843,0,2,1, ,3,1
844,1,2, ,6,1,0
845,1,1,0,4,3,2
846,2,3,2,9,1,2
847,0,4, ,6, ,1
848,2,1,2, ,1,1
849,1,0,0,6,3,0
850,2,1,2,2,2,0
851,1,0,1,7, ,1
852,2,3, ,1,1,2
853,2,4,0,6,2,2
854,1,2,0,5,3,2
855,1, ,1,10,2, 
856,2,1,1, ,0,0
857,1,2,1,10,2,0
858,0,3,1,5,1,2
859,1,3,1,9,3,0
860,2,4,2, ,2,1
861,1,2,2,2,3,1
862,2,3,0,4,2,1
863,1,2,2,9,0,0
864,1,1,0, ,2,1
865, ,2,0,2,1,2
866,2,0,1,9,0,1
867,1,1,2, ,1,0
868,2, ,1,10,1,2
869,1,0,2,6,2,2
870,1,1,1, ,1,0
871,0,4,0,1,3,0
872,0,0,1,0,1, 
873,2,0, ,1,3,2
874,1,2,1,2,0,1
875,0,3,0,4,2,1
876,2,0, ,10,1,2
877,2,3,0,6, , 
878,1,1,1,7,1,1
879,2,3,1,9,0,2
880,0,3,0,6,0,2
881,2,1,0,3,1,2
882,2,3,2,1,3,1
883,1,4,2,0,0,2
884, ,0,0,7,3,1
885, ,0, ,6,0, 
886,1,3,2,6,2,1
887,1,2,2,7,0,0
888,2,4,0,6,1,0
889,0,2,2,0,0,0
890,1, ,2,9,1,0
891,0,4, , ,0, 
892,1,3,0,9,2,1
893,1,0, ,2,0,0
894,1,2,0, ,1,1
895,2,3,2,10,3,0
896,0,1,2,2,3,2
897,1,3,0,4,0,1
898,0,4,1,4,3,2
899,0, ,2,6,0,0
900,2,2,2,1,2,1
901,0,3,0,3,1,2
902,1,2,1,5,1,1
903,2,0,2,4,0,2
904,0,1,0,8,0,0
905,1,4,0,8, ,2
906,2,4,0,6,3,0
907,1, ,0,4, ,2
908,2,1,2,0,1,1
909, ,4,2, ,2,0
910,2,3,2,9,0,2
911,2,1,1,8,3,0
912,0,0, ,7,2,2
913,1,0,0, ,1, 
914,0,0,0,10,1,0
915,0,4,0,6,2,2
916,2,3,1,2,0, 
917,2,0, ,6, ,1
918,2,3,0,10, ,2
919,1,3, ,0, ,0
920,0,0,2,6, ,0
921,2,3,0,10,3,2
922,1, ,2,1,1,2
923,1,2,1,3,0,0
924,1,2,2,4,0,1
925,2,3,1,10,1, 
926,0, ,0,0,3,1
927,0,4, ,10,1,1
928,1,0,1,9,2,2
929,1,2,0,0,0,0
930,2,0,0,5,3,0
931,2,3,1, , ,0
932,1,2, ,0,3,0
933,2,0,1,10,2,2
934,1,0,1,6,2,0
935,0,0,1,8,1,2
936,1,3, ,6,3, 
937, ,3,0, ,0,1
938,1, ,2,4, ,1
939,1,4,2,7, ,2
940,1, , ,7,1,1
941,2,0,2,1, ,0
942,0,0,2,10,1,2
943,1,0,2,0,1,1
944,1,4, ,5,0,0
945,2,1,1,6,3,0
946,1,0,2,10, ,2
947,0,4,0,7,2,0
948, ,2,0,5,1,0
949,1,3,1,3,1,0
950,1,2,2,9,2,0
951,2,1,1,6,3,2
952,0, ,2,1,1,0
953,2,2,0,0,1,2
954,1,4,2,2,1,1
955,0, ,0,3,1, 
956,1,1,2,5,0,1
957,0,0,2,2,0,0
958, ,4,0,5, ,0
959, ,4,2, ,2,0
960,0,0,1, , ,1
961,0,1,2,1,0,1
962,2,4,2,8, , 
963,1,1, ,1,2,0
964,2,1,0,9,2,0
965,1,0,1,10, ,0
966,1,2, ,6,2,0
967,2,4,0,3,0,1
968,2,2, ,2,3, 
969,1,2,0,8,0,2
970,0,4,0,1,3,0
971,0,3,0,10,1,2
972,0,4,0, ,3,2
973,1,1,0,8, ,2
974,2,0,0,6,1,2
975,2,0,2,2,1,0
976,2,2,1,2,0,2
977,1,0,2,8,1,2
978,1,0,0,8,1,1
979,2,0,2,3,2,1
980,1,0,2,7,0,2
981,1,3,1,8,3,1
982,0,4,1,4,0,0
983,2,2,1,0,2,1
984,2, ,2,3, ,0
985,2,4,1, ,2,0
986,1,0, ,1,1,2
987,2,0,0,8,0,2
988,1,3, ,10,0,1
989,0,1,2,0,1,0
990,2,3,0,2,1,0
991,2,2,2,9,1,0
992,1,2,1,8, ,2
993,1,4,2,0,1, 
994,1,2,2,1,2,2
995,2,1, ,8, ,0
996,0, ,0,1,0,0
997,1,3,1,9,0,1
998,1,4,0,8,1,0
999,2,3,2,7,0,2
1000,1, ,0,8,0, 
