id,BG,AG,HA,ED,HE,SE
175, , ,1,4,3,0
176,2,1, ,8,0,0
177,2,0,0,3,0,0
178,0,1,2,3, ,0
179,0, ,2,1,3,1
180,2,4,2,10, ,0
181,1,2,2,1,1,1
182,0, ,2,10, ,2
183,1,2,2,6,0,0
184,2,3,1,2,1,1
185,2,3,2,4,0,1
186, ,4, ,8,2,2
187,2,1,1,0,3,0
188,2,0,2,1,0,1
189,0,3,2,9,0,1
190, ,4,1,1,2,2
191,2, ,1,3,2, 
192,1,4,0,4,0,1
193,0,4,2,0,1,0
194,2,2,2,0,0,2
195,2,2,0,0,1,1
196, ,0,2,4,3,0
197,2,2,0,1,0,2
198,1,4,2,8,2,2
199,1,2,0, ,1,0
200,0,1,0,3,3,2
201,2,2,0,4, ,1
202,0, ,0,7,3,2
203,0,4,2,9,1,1
204,1, ,0,10,3,0
205,1,0,2,7,0,1
206,0,1, ,1,3,2
207,1,3,0,10,0,0
208,1,2, ,10, ,0
209,2,4,1, ,3,1
210,0,2, ,9,0,2
211,1,2,0,2,2,2
212,2,0,0,10,3,0
213,0,3,1,9,1,2
214,2,1,0,5,3,2
215,1,4,2,3,3,2
216,0,3,0,6,2,1
217,0,3,2,8,2,1
218,1, ,0,6, ,0
219,2,0,2,5,3,2
220,0, ,0,8,0,1
221,2,0,1,0,2,1
222,1,2,1, ,2, 
223,1,1,2,8,2,2
224,0,0, ,10,0,2
225,2,1,2,2,3,2
226,1,1,2,9,2,2
227,2,2,1,2,3,2
228,2,1,2,5, ,2
229,2,4,1,9,2, 
230,2,2,1,1,0,2
231,1,1,0,2,2,1
232,1,0,1,5,0, 
233,0,4,2,0,0,1
234,0,3,1, ,1,0
235,0,2,0,8,1,1
236,2,1,1,7,0,2
237,0,2,1, , , 
238, ,4,1,8,2,0
239,1,2,0,2,3,0
240,0, , ,5,1,1
241,2, ,2,4,3,0
242,2,2,0,2,3,1
243,1, ,0,2,3,1
244,1,0, ,4,3,0
245, ,1,2,9,2,0
246,0, ,1,10, ,0
247,2,1,1,1,0,2
248,1,1,0,10, ,0
249,1,4,1,6,3, 
250,1,4,0,10,1,0
251,2,4,0,9,2,1
252,0,4, ,8,1,1
253,1,2,0,8,1,1
254,1,4,1,7,1,0
255,2,1,2,9,2,0
256, ,3,0,9, ,0
257,1,3,0,5, ,0
258,1, ,0,10,2,2
259,0,2,2,4,3,1
260,2,4,1,6,0,1
261,0,3,1,6,0,2
262,0,4,1,1,3,1
263,1,2,0,10,2,2
264,2, ,0,0,1,2
265,2,3,2,3,3,0
266,0,2,2,5,0,1
267,2,2,0,1,3,0
268,1,1,1,3, , 
269,1,0,1,6,3, 
270,0,4,1,9,1,2
271,0, ,0,3,0,2
272,0,4,2,6,3,2
273, ,2,2,3,0,0
274,1, ,2, ,0,2
275,1,4,1,8,1,2
276,1,0,0, ,2,0
277,2,4,0,7,2,1
278,0,2,1, ,2,2
279,0,0,2,6, ,2
280,0,4,1,10,3,2
281,1,0,1, ,3,1
282,1,1,2, ,3,1
283,0,2,2,1, ,2
284,1,3,2,0,3,1
285,0,2,2,1,2,1
286, , ,2,6,3,1
287,0,0,0,1,2,0
288,2,2,1,10,1,1
289,1,1,2,1,2,1
290,2,0,2,9,3,0
291,2,2,0,5, ,2
292, ,1, ,8,3,0
293,0,3,2,5,2,0
294, ,2,1,10,1,1
295,0,1,1,0,2,1
296,0,0,0,6,0,2
297,1,0,2, ,2,1
298,2,3,2,7,1,1
299,1,3, ,3,3,2
300,2,1, , ,0,0
301,2,1,2, , ,2
302, ,4,0,8,2,1
303,1,1,2,10,3,1
304,2,0,0,2, , 
305,0,2,2, ,1,1
306, ,3,2,0,3,2
307,1,2,1,1,3,0
308, ,3,2,7,0,0
309,0,4,2, ,3,1
310,0,1,1,3,1,1
311,1, ,1,0,1,2
312,1,3,2,4,3, 
313,2,1,0,2,3,0
314,0,2,2,8,2,0
315,0,0,1,5,3,0
316,2, ,2,7,1,2
317,0,4, ,9,1, 
318,2,1,2,3,3,1
319,2,0,2,9,2,2
320,2,3,1,1,2,2
321,1,0,2,8,2,1
322,0,1,1,7,3,0
323, ,1,2,7,0,1
324,0,0,2,0,0,0
325,1,0,0,1,0,1
326,1,0,0,1,2,2
327,1,3,2, ,2,1
328,2,0,1,1,3,2
329,1,2,0,5,1,0
330,1, ,1,10,1, 
331,1,3,1,2,1,1
332,2,2,2,7,3,1
333,2,4,2,0,3,2
334,0,3,0,9,1,0
335, ,0,2, ,0,2
336,2,3,0, ,0,2
337,0,0,0,3,3,2
338,2,2,2, ,2,1
339,1,1,1,7,0,0
340,1,4,1,9,3,1
341,2,0,0,3,1,1
342, ,1,1,2,0,1
343,2,3,2,3,0,2
344,0,4,2, ,0,0
345,0,2,0,5,3,2
346,1,3,0,1,3,2
347,2,1, ,5,1,2
348,2,0,0, ,0,0
349, ,3,2, ,1,1
350,1,2,0,9,0,1
351,0,2,1,4,2,1
352, ,2,0,0, ,1
353,2,2,1,0, ,1
354,0,0,2,7,2,1
355,2,2,1,6,2,0
356,2,2,2,4,1,1
357,0,3,0,1,3,2
358,2, ,0,10,1,2
359,0,4, ,6,1,1
360,0,3, ,3,3,1
361,0, ,1,10,2,0
362,0,2,1,5,0, 
363,1,4, ,4, ,0
364,1,3,0,9,2,0
365, ,0,0,1,0,1
366,1, ,1,9,0,1
367,0, , ,4,2,1
368,2,4, ,0,3,0
369,1,3,1,9,1,1
370,2,0,1,9,2,0
371,0,4,1,3,1,1
372, ,3,1,7,0,0
373,1,1, ,1,3,2
374,0,2,0,10,0,0
375,1,0,2,1,2,1
376,2,1,0,6,1, 
377,2,3,1,8,0, 
378,0,4,1,5,3,1
379,0,1,2,7,0,2
380, ,3,2,9,0,2
381,1,3,0,1,3,1
382,1,3,2,0,3,1
383,0, ,0,0,1,2
384,0,4,0,4,2,1
385,1,4,2,6,1,1
386,0,2,2,7,2, 
387,0,1,2,0,0,1
388,1,3, ,0, ,2
389,0, ,2, ,3,1
390,2,1,2,6,3,2
391, ,3,2, ,3,1
392,0,3,2,8, , 
393,1,4,1,6,1,1
394,2,2, , ,0,2
395,0,4,0, , ,0
396,1, ,2,4,0,0
397,0,1,0,2,3,0
398, ,3,1,2, ,0
399,2,4,2, ,0,0
400,0,1, ,1, , 
401,1,2,1,6, ,0
402, ,1, ,4,1,2
403,1,2,2,7,0,0
404,0,1,1,8,0,1
405,1,0,0,6,0,1
406,1,1,2,6,0,0
407,2, ,2, ,3,2
408,2, ,0,4,0,1
409,1,1,1,2,3,1
410,0,4,0, ,0,2
411,2, ,2,0,2, 
412,0,4,1,3,3,0
413,0,0,2,8,3, 
414,2,4, ,9,1,0
415,0,0,0,10,2,1
416,2,3, ,0,3,1
417,2,2,0,6,1,2
418,2,4,2,10,3, 
419,2,0,1,1,1,0
420,2,0, ,10,3,0
421,0,2,0,10,2,2
422,1,4,1,4,3,1
423,2,4,0,4,3,1
424,1,1, ,7,1,1
425,2,1,2,3,2,2
426,2,1,1,2,1,0
427,0,4,2,2,0, 
428,0,1,0,1,2,1
429,1,4,1,2,0,2
430,0,3,0,6,1,2
431,0,1,2,3,1,1
432, ,3,1,2,3,1
433,1,2,2,7,3,2
434,0,3,1,1, ,2
435,2,4,1,9,2, 
436,1,0,2,6,2,0
437,1,0,1,3, ,2
438,2,3,0,6,1,2
439,2,0,0,7, ,0
440,1,1,1,7,0,2
441, ,1,1,7,0,2
442,0,0,1,7,1,2
443,0,3,0,6,1,0
444,0, ,0,2,1,1
445,0,0,2,5, ,2
446,1,3,1,5, ,2
447,2,2,1,7,1,2
448,0, ,0,0,1,0
449,2,0,2,8,2,1
450,1,4, ,1,1, 
451,2,1,2,5,0,0
452,0,4,0,0,1,1
453,1,1,0, ,1,0
454,1,3,1,6,2,2
455,0,4,0,1,3,1
456,0,0,1,8,0,0
457,2,3,0,9,0,0
458,0,3,1,3,2,2
459,0,2,1, ,0,0
460, ,1,2,4, ,0
461,1,0,0,10,0,1
462,2,2,1,9,0,2
463,1,4,0,4,3,2
464,2,0,2,10,3,1
465,0,3,1,10,3,0
466,1,2,1,8,2, 
467,0,4,0,4,3,2
468,2,1,0,8,0,2
469,1,3,1, ,0,1
470,0,3,2,6,0,0
471,0,4,2,4,3,0
472, ,2,2,4, ,2
473,1, , ,6, ,2
474,0,0,2,7,1,1
475,0,2,1,8,2,1
476,1, ,1,5,0,2
477,0,3,1,0,1,1
478, ,2,2,0,1, 
479,0,1,1,3,3,2
480,1, ,2, ,2,0
481, ,3, ,4,3,2
482,2,1,2,4,3,1
483,1,0, ,9,2, 
484,2,3,1,9,3,0
485,1, ,2,8,1, 
486,2, ,2,5,3, 
487, ,2,0,4,2,0
488,0,0,1,3,0,2
489,0,2,1,9,2,0
490,2,2,1,4,0,0
491,0,2,0,3,1,2
492,1,0,1,2,2,1
493,0, ,1,4,3,0
494,0,0,0,6,3,2
495,1,3,1,1,3, 
496,1,2,1,1,3,0
497,2,1, , ,1,2
498,1,1,2,3,1,1
499,2,2, ,7,1,1
500,0, ,0,9,2,0
501,0,4,1,1,3,2
502,1,3,0,0,2,1
503,1,4,1,0,1,2
504,2,3,1,9,3,1
505,0,2, ,7,0,1
506,2,1,1,0,1,0
507,2,2,2,7, ,1
508,0,1,1,3,3, 
509,0,0,1,8,0, 
510,1, ,0,8,0,1
511,2, ,1,2,0,0
512,1,2,2,2,1,1
513,2,0,0,5,1,2
514,0, ,1, ,0,1
515,1,0,2,3,2,0
516,1,4,0,10,3,1
517,1,0,0,10,3,2
518,2, ,1,2,2,2
519,0,1,1, ,2,0
520,1,3,1,2,2,0
521,1,1,1,5,1, 
522,2,4,2,1,3,0
523,2,0,1,4, , 
524, ,2,0, ,1,1
525,0,0,0, , , 
526,1, ,2, , , 
527, ,3,0,3,2,0
528,2,1,2, ,3,0
529,2,0, ,8,3, 
530, ,3, ,7,1,1
531,1,0,1,2,1,0
532,2,3,1,0,1,1
533,1,0,1,7,0,0
534,2,4,2,2,3,0
535,2,1,2, , ,1
536,0,3,1,3,1,0
537,1,2,1,3,1, 
538,2,4,1,4,3, 
539,2,4,1,5,0,0
540,2,2,1,9,0,2
541,0,1,2,0,3,1
542,0,4,1,2,1,1
543,1,1, ,6,2,2
544,2, ,1,2,3,2
545,2,4, ,9,0, 
546,2,0,2,3,2,0
547,0,4,1,7,0, 
548,1,2,1, ,0,1
549,0,4,2,10,1,1
550,1, ,1, ,0,2
551,2,2, ,4,1,0
552,2,1,0,10,2,2
553,1,4,2,6,2,1
554,2,1,0,7,1,1
555,0, ,1, ,1,0
556,1,4,1,4,3,2
557,0,2,1, ,0,2
558,0,3,2,0,1,1
559,0,4,0,6, ,0
560,2,0,1,4,3,0
561,2,0,2,7,3,0
562,2, ,2,4,0,1
563, ,2,1,10, , 
564,2,4,1,3,3,2
565,2,3,0,0,3,0
566,1,0,1,1,3,0
567,1,3,2,4,1,1
568,0,4,1,10,0,2
569,2,0,2,6,3,2
570,2,0,1,0,3,2
571, ,3,2,0,3,0
572,2, ,0,9,0,0
573,1, ,1,2,1,0
574,2,2,0,8,3,2
575,0,1,0, ,0,2
576,2,0,1, ,2,0
577,1,0,0,7,3,2
578,1,3,1,3,3,0
579,1,4,1,2,1,1
580,1,4,2,4,2,1
581,0, ,1,0,1,2
582,1,4,1,10,0, 
583,0,4,2,3,3,0
584,0,1,1,2,2,0
585,1,4,2,3,3,0
586,1,2,2,2,0,2
587,2, ,0,5, ,0
588,2,3,0,4,0,1
589,1, ,0,1,3,1
590,0,4,2,4,1,1
591,1,0,0,3,1,0
592,0,0, ,2,0,2
593,0,4,2,10,1,1
594,1,2,1,7,1,1
595,2,1,2,3,2,2
596,2,4,1,7,3,1
597,0,4,0,6,3,2
598, ,3, ,8, ,0
599,1,0,2,5,3,1
600,0,1,2,6, , 
601,0,3,0,1,0,2
602,0,0, ,9,3,2
603,0,3,1,6, ,0
604,1,1,0,4,2,2
605,2,2, ,8,0,1
606,0,1,1,5,0, 
607,0,3,2,4,2,2
608,1,4, ,2,3,2
609,2,3,1,9,0,0
610,0,2,0,6,0,2
611,0,3,1,1,3,1
612,1,1,0,1,0,2
613,1,4,2,8,1,0
614,1,4,0,9,3, 
615,1, ,2,3,0,0
616,2,2,2,8,2,1
617,1,0,2,7,2,2
618,0,4,0,7,2,2
619,0,3,0,2,0,1
620,2,2, ,0,0,2
621,2,3,2,9,2,0
622,2,4, ,8,1,1
623,1,2,2, ,0,2
624,2,4,1,9,1,2
625,2,0,2,6,0, 
626, ,1, ,9, ,1
627,0,3,2, ,1,1
628,2,0,1,2, , 
629,1,2,0,1,0,0
630,1,1, ,4,2,1
631,2,1,2,3,0, 
632,1,1,2,0,1,1
633,2,4, , ,0,2
634,2,3,2, ,3,2
635,2,0,2,3, ,1
636,1,1,2, ,1, 
637,0,2,1,8,0,2
638,0,0, ,9,3,1
639,2,0,1, ,2,1
640,1,2, ,6,1,1
641,1,3,1,9,3, 
642,1,3,2,7,2,0
643,1, ,2,0,0,0
644,0,4,0,1,1,1
645,0,0,0,3, ,1
646,0,0,1,1,2,2
647,1,2,2,3,0,0
648,0,4,1,3,1,2
649,0, ,2, ,1,1
650,0, ,0, ,3,1
651,1, ,0,8, ,2
652,0,3,2,6,2, 
653,2,2,2,3,2,0
654,1,0,2,7,3,1
655,2,3, ,10,2,0
656,0,0,1, ,0,2
657,2,3, ,5,1,2
658, ,1,1,8, ,1
659,2,1,1, ,0,1
660,2,3,2, ,0,0
661,1,3,0,5,2,2
662,2,4,1,4,2,1
663, , ,1,0,2,2
664,0, ,2,4,3,2
665, ,2,2,10,3, 
666,2,4,2,2,2,0
667,0, , ,5, ,2
668,0,2,0,8, ,0
669,1,2,0,0, ,0
670, ,3, ,1,3,1
671,1,4,0,10,2,2
672,2,1,2, ,1,2
673,0,0,0,3,1,0
674,2,3,2,9, ,2
675,1,0, ,4, ,1
676,0,1,1, , ,2
677,0,1,2,2,2,2
678,1, , ,2,0,1
679,0,4,2,5, ,2
680,0,2,1,9,3,0
681,1,4, ,5,0,2
682,0,0,2,2,3,0
683,1,4,1,3, ,0
684,0, ,2,5,0,1
685,2,0,2,0,1,0
686,0,0,0,5, ,1
687,2,4,1, ,1,0
688,2,1,1,6,0,1
689,0,3,2, ,0,0
690,1,0,0, ,0, 
691,2,4,2,2,2,2
692,2,1,1,8,1,2
693, ,2,1,2,3,2
694, ,1,1,8,0, 
695,2,1, ,9,1,0
696,2,3,0,6,1,1
697,0,4,2,7,3,1
698,1,1,2,5,1,2
699,0, ,2, ,0,0
700,2,1,0, ,0,1
701,0,0,2,2,0,0
702,2,2,0,2,0, 
703,2,3, ,7,2,1
704,1,2,1,0,3,0
705,1,3,0,9,3,1
706,0,1,2, ,0, 
707,0,1,0,2,1,0
708, ,1,2, ,1, 
709,1,0,2, ,3,2
710,2,0,0,3,1,2
711,2, ,2,0,3,1
712,0,0,1,0,0,0
713,0,4,1,8,2,0
714,2,1,1,6,2,1
715,1,3,1,7, ,1
716,0,4,0,4,1,1
717,1,4,0,3,2,2
718,1,4,2,2,1,0
719,2,1,0,9,1,0
720, ,1,0,2,2,0
721,1,4,1,7,2,1
722,0,3,0,5,3,1
723,0,1,0,8,1,0
724,0,2,0,9,2,1
725,1,1,1,3,0,0
726,0, ,0,3,1, 
727,2, ,1,7, ,1
728,1,1,1,10,2,2
729,2,0,0,1,2,0
730,0,0, ,6,1,0
731,2,1,2,6,2,1
732,1, ,2,5,0,2
733,2,3,0,10,3,1
734,1,3, , , , 
735,0,0,0,9,0,2
736, ,0,0,7, , 
737,1,3, ,5,1,0
738, , ,1,10, ,1
739,0,4, ,1,2,0
740,1,1,0, ,0,0
741,2,0,2,1,0,0
742,2, ,2,3,1,0
743,2,3,2,0,0,2
744,1,3,2, ,2,1
745,2,4,1,10,3,1
746,2,3,2,10,2,2
747,1,4,2, ,1, 
748,0,4,0,1,1,1
749, ,2, ,8,1, 
750,2,4,2,3,1, 
751,2,2,0,1,2, 
752,1,1,0,2,0, 
753,0,4,2,2,3,2
754,2,1, ,1,0,2
755,2,4,2,6,3,0
756,1,1,0,9,3,1
757,1,4,0,6,3,1
758,0,4, ,5,3,0
759,2,3,2,8,0,2
760,0,2,1,7,0,1
761, ,2,1,4,0,0
762,0,2,1,4,3,1
763,2, ,0,1,2,2
764,2,0,0,8,1,0
765,0,3,1,2,1,0
766,0,0,0,3,3,0
767,1,3,2,4,3,2
768,1,4,2,8,2,1
769, ,0,2, ,3,1
770,1,0,1,8,3,1
771,0,1,2,2,1,1
772,1,1, ,5, ,2
773,1,0,2,10,1,0
774,1, ,2,1,3,2
775,1,2,2,7, ,1
776,2,0,0,5,0,0
777,0,2, ,9,1,2
778,0,2,0,6,0,1
779,0,0,1,10,0,0
780,1, ,2,10,1,2
781,2,0,1,6, ,1
782,0,4,2,0,1,0
783, ,2,0,3,2,1
784,1,1,2,3,0,2
785,1,1,2,4,1,2
786,1,0,2,4, ,0
787,1,1,1,4,0,2
788,0,1,1,0,3,1
789,0,4,1,2,0,2
790,0,0,0,0,0,0
791, ,0,0,6,0,1
792,1,2,2,3,2,1
793,1,0,2,6,2,0
794,0,0,0,10,0,0
795,1,4,2,10,3,0
796,1,3,0,7,3,1
797,1, ,2,7,2,0
798, , ,0,7,1,0
799,1,2,2,9,2,2
800,0,4,0,6,0,0
801,1,0,2,8,0,0
802,1,2, ,9, ,0
803,0,4, ,9,2,2
804,1,1, ,8,0,0
805,2,0,0,7,2,1
806,2,4,1,0,3, 
807, ,0,0,2,3,0
808,1,2,2,3,1,0
809,0,1,1,5,2, 
810,0,0,0,10,3,2
811,2,1,1, ,2,2
812,2,3,0,3,3,1
813,1,2,1, ,0,1
814, ,4,2,7,2,2
815,1,4,2,2,2,1
816,0,1,1,4,0,0
817,1,2,1,10,2,1
818,2,4,1,6,2,1
819,1,3,1,8,3,1
820,2,1, ,1, ,0
821,1,4,0,10,2,1
822,2,3,1,5,3,2
823,0,4,0,0,2,1
824,1,3,0,4,3,0
825,1,4,1,3,2,2
826,1,1,1, ,3,0
827, ,0,0,1, ,1
828,0,1,1,2,0,2
829,2,0,1,8,2,2
830,2,3, ,10,2,2
831,2,2,1,5,2,1
832,2,4,0,4,2,2
833,0,2,2,1,0,0
834,0,1,1,6,1,2
835, ,0,2,1,3,2
836,0,1,0,6, ,2
837,1,4,1,8,1,0
838,2,3,2,7,3,2
839,1,4,2,5,1,1
840,2,4,2,4,2,2
841,0,0,0,3,1,0
842,2,0,2,5, ,0
843,2,1,2,8,2,1
844,0,2,0,8, , 
845,0,2,0,3,1,2
846,0,2,0,6,3, 
847,2,1,0,5,0,1
848,0,1,2,8,1,1
849,1,3,1,8, ,1
850,0, ,2,3,3,0
851,0, ,2,4,1,0
852,0,2,0,9,2,0
853,0,2,0,1,1,0
854,1, ,2,8,0,0
855,1,1,1,3,3,2
856,0,2,2,7,1,0
857,2,0,1,10,1,0
858,0,1,0,10,1,0
859,0, ,0,1,3,0
860,2,2,2,4,2,1
861,2,3,2,3,0,0
862,0,3,2,1,3,0
863,0,0,1,1,0,2
864,2,4,1, ,2,2
865,2,1,2,10,2,0
866,1,0,2,7,3,2
867, ,4,1,5,1,2
868,0,3,2,1,3,1
869,2,1,2, ,2, 
870, ,3,1,1,2, 
871,0,4,2,9,2,1
872,2,0,2,8,1,1
873,1,1,2,0,2,1
874,0,0,1, ,2,1
875, ,3, ,0,3,1
876,2,1,0,6,1,1
877,0,0,1,6,1,0
878,0,0,0,1,0,1
879,1,0,2,6,1,1
880,0,3, , ,2, 
881,1,4,1,9,2,0
882,2,2,0,0, ,1
883,1,4,0,4,2,2
884,2,2,1,0,2,1
885,1, ,1,6,0,2
886,0,1,0,6,0,0
887,2,2,2,8, ,0
888,0,2,2,0,3,2
889,2,0,2,8,2,2
890,0,4,2,1,2,0
891,1,2,2,9,3,0
892,0,3,0,5,3,2
893,2,0,0,8,3,2
894,2,4,1,2, ,2
895,2,0,2,4,3,1
896,1,1,1, ,1,1
897,1, ,1,3,3,1
898,2, ,2,1,2,2
899,0, ,0,0,2, 
900,0,1,0,3, ,2
901,0,1,0,10,2,2
902,2,3,2,6,0,2
903,1,1,2,10,2,0
904,2,4, ,1,0,0
905,2,3, ,5,0,0
906,0,4, ,1,2,1
907,2,2,1,3,0,1
908,0,2,0, ,2,0
909,0,0, ,10,3,1
910,1,4,0,2,1,0
911,1,1,2,10,1,1
912,0,0,1,4,3,1
913,1,2,1,3,2,2
914,0,0,0,9,1,1
915,0,1,0, ,1,1
916,1,3,2,7,1,1
917,0,1,0,9,2,0
918,0,1,2,8,3, 
919,2, ,2,7,3,0
920, ,1,2,7,2, 
921,0,0,0,2,2,0
922,1,1,1,9, ,1
923,0,0, ,3,0,2
924,1,2,0,1,3,2
925,1,1, ,1,1,0
926,0,0, ,0,1,1
927,2,4,0,6,1,2
928,0,1,2,2,2,0
929,2,2, ,6, ,0
930,0,3,0,1,1,1
931,1,3,2,7,2,1
932,0,1,2,10,3,0
933,0,0,2,9,1, 
934,0,0,2,1, ,2
935,2,3,1,5,1,2
936,2,4,2,3,3,0
937,1,0,1,8,1,1
938,0,2, ,0,2,1
939,2,2,1,1,0,2
940,0,3,1,3, ,2
941,1,2,2,4,2,1
942,1,0,0,1,2,2
943,2,1,2,3, ,2
944,0,1,0,8,1,1
945, ,1,0,1,2,0
946,0,3,0,2,3,0
947,0,1,0,7,2,0
948,1,2,2, ,1,1
949,0,1,1,1,2, 
950,0,3,1,1,1,1
951,2,3,2,10,3, 
952, ,2,2,8,3,2
953,2,4,0,7, ,0
954,0,2,0, ,1,0
955,0,0,1,8,3, 
956,1,3, ,3, ,1
957,1,0,0,9,2,0
958,2,0,0,4, ,2
959,2,3,1,3, ,1
960,2,0,2,2,0, 
961,0,3,2,1,2,1
962,2,3,0,4,2,0
963,0,3,1,6, ,1
964,0,3,2,5,3,2
965, ,3,2,0,0,2
966,2,2,0,10,1,0
967,0,0,0,10,0,1
968,1,3,1, ,1,1
969,1,1,0,4,0,0
970,2,0,2, ,3,2
971,1,4,1,10,2,2
972,1, ,0, ,0,1
973,2, ,2,7,1,1
974,2,3,1,0,2,2
975,1,3,1,7,2, 
976,2,3, ,4, ,0
977,0,0,2,5,1,1
978, ,3,0, , ,0
979,2,2,0,5,1,1
980, ,4,2,7,3,1
981,2,2,1,6,1,2
982,2,1,1,2,2,0
983,0,2,1,1,1,2
984,1,1,0,6,3,2
985,1, ,2,0,1,2
986,0,1,1,5,3,1
987,1, ,2,7,3,1
988,1,3,0,7,0,2
989,2,2,0,5,2,0
990,0,2,2,0, ,1
991,2,4,2,10, ,2
992,2,4,0,5,1, 
993,0,0,1,7,2,1
994,2,0,0,4,0,1
995,0,0,1,4,0, 
996,0,2,1, ,1,0
997,0,2,2,7,0,1
998,2,3,0,4, ,0
999,2,2,0,10,1,0
1000,2,0,1,1,0, 
